type	action	issue	page	recipe	keyword
r	l	Dec	108	prosciutto-wrapped scallops & prawns with basil & lemon
r	l	Dec	94	Provençale prawn soup
r	l	Sep	25	quick stewed squid with tomatoes
r	l	Aug	80	red prawn curry
r	l	May	148	riso con gli `angeli' (Sicilian rice with `angels')
r	l	Feb	88	risotto with prawns, peas, vermouth and basil
r	l	Dec	172	rock lobster & mango salad
r	l	Dec	91	saffron risotto with prawns & squid
r	l	Nov	71	salt & pepper yabby tails
r	l	Dec	202	sambal udang (spicy prawns)
r	l	Dec	108	sashimi oysters
r	l	Mar	96	satay prawns with cucumber & pineapple
r	l	Oct	98	scallop sashimi to dive for
r	l	Aug	100	scallops seared in the half shell, with fennel salsa
r	l	Nov	100	scampi baked on rock salt with black-pepper butter
r	l	Jun	104	seafood tempura	seafood
r	l	Jun	40	seared scallops with blue cheese polenta, shiitakes and truffle oil
r	l	Mar	72	sesame prawn toasts
r	l	May	36	spaghetti with prawns & rocket
r	l	Feb	118	spiced & buttered crab
r	l	Oct	154	squid, basil & chilli noodle stir-fry
r	l	Sep	104	steak kilpatrick
r	l	Apr	102	steamed vongole with garlic, chilli, parsley & olive oil
r	l	Jun	59	sweet & sour chilli prawns
r	l	Nov	114	tiger prawn salad with mango & avocado
r	l	Oct	81	tikka prawns with yoghurt pilaf
r	l	Dec	176	sherry trifle semifreddo
r	l	Jul	60	baked beetroot & apple soup
r	l	Jul	94	broccoli & gruyere soup with garlic cheese toasts
r	l	Apr	120	cauliflower soup
r	l	Jul	122	chicken paprika
r	l	Jul	122	chickpea, fish & olive stew
r	l	Feb	127	chilled avocado & coconut soup
r	l	Dec	144	chilled tomato soup
r	l	Apr	144	corn soup with chive oil
r	l	Mar	38	cup of garden soup
r	l	Jul	140	curried parsnip soup
r	l	Jul	96	duck cassoulet
r	l	Jun	141	four-bean soup with barley
r	l	Jul	94	fragrant Vietnamese beef noodle soup
r	l	Aug	118	French onion soup
r	l	Sep	94	guacamole soup
r	l	Jul	92	hot & sour prawn soup
r	l	Apr	42	John Dory chowder with mussels and cider
r	l	Nov	108	lettuce soup & cucumber croutons
r	l	Mar	120	little prawn soups
r	l	May	53	minestrone
r	l	Aug	24	Moroccan chickpea soup
r	l	Nov	156	Moroccan fish stew
r	l	Sep	90	mussel & bean soup
r	l	Nov	96	mussel, leek & saffron soup
r	l	Feb	74	pesto soup with zucchini and potato
r	l	Aug	116	pot-au-feu
r	l	Jul	92	potato & celeriac soup with herb creme fraiche
r	l	Dec	94	Provençale prawn soup
r	l	Mar	86	pumpkin laksa
r	l	Jul	98	red lentil & spicy sausage stew
r	l	Jul	92	spicy tomato soup
r	l	Sep	86	spring minestrone
r	l	May	90	tomato & chickpea soup with gremolata toasts
r	l	Dec	120	turkey & harissa soup
r	l	Jun	68	wild mushroom soup with madeira
r	l	Jun	82	winter vegetable & chicken broth
C	c	ingredient:	soy
r	l	Sep	102	marinated fish with soy jelly & cress	soy
r	l	Oct	102	power lunch with edamame, wakame and tuna
r	l	Oct	116	soy & maple creams	soy
r	l	Dec	208	spelt pasta with tuna, spinach, chilli and lemon
C	c	ingredient:	spinach
r	l	Nov	126	baby spinach, orange & macadamia salad	spinach
r	l	Aug	38	spinach & goat's curd tarts with poached eggs & pine nut dressing	spinach
r	l	Jun	100	three-cheese & spinach roll-ups	spinach
C	c	ingredient:	strawberry
r	l	Feb	82	balsamic strawberry pavlova	strawberry
r	l	Dec	158	double-strawberry sauce	strawberry
r	l	Dec	157	mini strawberry custard tarts	strawberry
r	l	Sep	98	passionfruit caramel strawberries	strawberries
r	l	May	88	pork with strawberry balsamic sauce	strawberry
r	l	Jul	105	rhubarb & strawberry pudding	strawberry
r	l	Oct	66	sparkling strawberry cocktails	strawberry
r	l	Apr	119	onion & asiago tart
r	l	Nov	128	panna cotta tarts with summer fruits
r	l	Feb	118	pea, pancetta & soft cheese tart
r	l	Jun	108	pear puff-pastry tart with a rich red-wine glaze
r	l	Jul	42	pear tarte Tatin
r	l	Feb	106	Persian feta, zucchini & mint tarts
r	l	May	46	pumpkin & mostarda tart
r	l	Mar	64	raspberry frangipane tarts
r	l	May	140	ricotta & orange tart
r	l	Aug	38	spinach & goat's curd tarts with poached eggs & pine nut dressing
r	l	Dec	193	tomato, basil & goat's curd tarts with lemon oil
r	l	Nov	194	tomato petal tarts with chive ricotta
r	l	Oct	32	watercress & spinach tart with sesame potato pastry
r	l	May	98	polpette Toscane (meatballs with porcini mushrooms and pecorino)
r	l	May	148	stinco al forno (roast veal shanks)
r	l	Jul	110	veal fillet with white anchovies on potato puree
r	l	Feb	106	veal with persillade and wilted spinach
r	l	Dec	190	veal saltimbocca skewers
r	l	Aug	102	veal scaloppine, pan-fried with sage and pancetta, with borlotti bean puree
r	l	Nov	166	vitello tonnato with tomatoes, olives and basil oil
C	c	ingredient:	vegetables
r	l	Jul	142	five-spice vegetable stir-fry	vegetable
r	l	Jul	88	lentil & vegetable cottage pie	vegetable
r	l	Oct	82	roasted vegetable & feta pizza	vegetable
r	l	Dec	111	tamarind-roasted vegetables	vegetables
r	l	Oct	110	vegetable chilli	vegetable
r	l	Sep	84	vegetable samosa pies	vegetable
C	c	ingredient:	venison
r	l	Apr	94	chargrilled venison with pink gin apple sauce	venison
